context,error_reason,raw_data,logged_at
load_transactions,Invalid currency,"{""transaction_id"": ""9cc03d06-a90f-4088-a455-a1206e4a113b"", ""timestamp"": ""2025-03-16T02:42:00"", ""amount"": 43050.16, ""currency"": ""DKK"", ""sender_account"": ""GB58KVRW29973435097995"", ""receiver_account"": ""SE8902VJHZ33855900402507"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""Stubbek\u00f8bing"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Trollh\u00e4ttan"", ""transaction_type"": ""outgoing"", ""notes"": ""Freelance project payment""}",2025-06-03T09:08:57.167770
load_transactions,Invalid currency,"{""transaction_id"": ""11dc448f-b2f8-4da9-bdb3-489af6968065"", ""timestamp"": ""2025-02-09T05:57:00"", ""amount"": 12313.61, ""currency"": ""DKK"", ""sender_account"": ""GB58RGNE08773109585668"", ""receiver_account"": ""SE8902PSFY01211467765419"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""Ansager"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Malm\u00f6"", ""transaction_type"": ""incoming"", ""notes"": ""Online purchase""}",2025-06-03T09:08:57.170266
load_transactions,Invalid currency,"{""transaction_id"": ""89ec4e20-e340-4564-9aed-aad4e34b4072"", ""timestamp"": ""2025-01-01T03:06:00"", ""amount"": 4948.72, ""currency"": ""JPY"", ""sender_account"": ""GB57XLJK54860899889594"", ""receiver_account"": ""SE8902VBSX39074781358158"", ""sender_country"": ""Japan"", ""sender_municipality"": ""\u516b\u738b\u5b50\u5e02"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Eskilstuna"", ""transaction_type"": ""outgoing"", ""notes"": ""Tax refund""}",2025-06-03T09:08:57.171754
load_transactions,Invalid currency,"{""transaction_id"": ""f05eaab6-7a98-4d46-a020-45e8e1409e58"", ""timestamp"": ""2025-04-15T16:57:00"", ""amount"": 41839.42, ""currency"": ""ZMW"", ""sender_account"": ""GB42QTTR07621951221751"", ""receiver_account"": ""SE8902FOBI10005828618756"", ""sender_country"": ""Zambia"", ""sender_municipality"": ""Francescaport"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Trelleborg"", ""transaction_type"": ""incoming"", ""notes"": ""Online purchase""}",2025-06-03T09:08:57.173013
load_transactions,Invalid currency,"{""transaction_id"": ""360e9e09-6302-49dd-bde6-099bceb7002b"", ""timestamp"": ""2025-02-18T15:56:00"", ""amount"": 40728.22, ""currency"": ""NOK"", ""sender_account"": ""GB88VKAK77330134153197"", ""receiver_account"": ""SE8902XGBQ65373440284962"", ""sender_country"": ""Norway"", ""sender_municipality"": ""Runenes"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Norrk\u00f6ping"", ""transaction_type"": ""outgoing"", ""notes"": ""Salary payment""}",2025-06-03T09:08:57.174160
load_transactions,Invalid currency,"{""transaction_id"": ""e8a4b986-1ec0-4179-bc61-e8c1f9941de4"", ""timestamp"": ""2025-01-05T13:41:00"", ""amount"": 568.16, ""currency"": ""DKK"", ""sender_account"": ""GB40DDPD97331167975880"", ""receiver_account"": ""SE8902JXEZ02627245746002"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""Frederikssund"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""\u00d6stersund"", ""transaction_type"": ""outgoing"", ""notes"": ""Tax refund""}",2025-06-03T09:08:57.175333
load_transactions,Invalid currency,"{""transaction_id"": ""b50cb943-265a-4525-8f3d-8af74a8d7255"", ""timestamp"": ""2025-04-24T22:49:00"", ""amount"": 26185.75, ""currency"": ""NOK"", ""sender_account"": ""GB53QULE96348267323355"", ""receiver_account"": ""SE8902LACW59549122762926"", ""sender_country"": ""Norway"", ""sender_municipality"": ""Jorunn\u00f8y"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Uddevalla"", ""transaction_type"": ""outgoing"", ""notes"": ""Loan repayment""}",2025-06-03T09:08:57.176451
load_transactions,Invalid currency,"{""transaction_id"": ""bb814e7b-5845-4db8-839d-3830fb7e553e"", ""timestamp"": ""2025-03-25T21:49:00"", ""amount"": 32187.01, ""currency"": ""DKK"", ""sender_account"": ""GB95YTFI00978624539572"", ""receiver_account"": ""SE8902JUBX10521679094085"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""Nyk\u00f8bing M"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Alings\u00e5s"", ""transaction_type"": ""outgoing"", ""notes"": ""Consulting fee""}",2025-06-03T09:08:57.177601
load_transactions,Invalid currency,"{""transaction_id"": ""6b39b850-98fc-4214-9f6e-5c5f0fcae62c"", ""timestamp"": ""2025-02-16T18:20:00"", ""amount"": 2944.85, ""currency"": ""NOK"", ""sender_account"": ""GB37RTRE83659860748014"", ""receiver_account"": ""SE8902XETE95068684209773"", ""sender_country"": ""Norway"", ""sender_municipality"": ""Lunde"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Trelleborg"", ""transaction_type"": ""outgoing"", ""notes"": ""Rent transfer""}",2025-06-03T09:08:57.178758
load_transactions,Invalid currency,"{""transaction_id"": ""317a8209-d279-45ef-baf7-3d4e6cdfb1ac"", ""timestamp"": ""2025-04-04T01:23:00"", ""amount"": 37202.13, ""currency"": ""DKK"", ""sender_account"": ""GB53WQTN46601234739330"", ""receiver_account"": ""SE8902MINV17334030266764"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""Gelsted"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Nyk\u00f6ping"", ""transaction_type"": ""incoming"", ""notes"": ""Reimbursement for travel""}",2025-06-03T09:08:57.179947
load_transactions,Invalid currency,"{""transaction_id"": ""0fdc396a-874d-41a1-86a4-4199fbc9350a"", ""timestamp"": ""2025-04-26T10:35:00"", ""amount"": 8929.15, ""currency"": ""DKK"", ""sender_account"": ""GB37UIVJ72432579359044"", ""receiver_account"": ""SE8902VULP28317370301184"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""Langeskov"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Link\u00f6ping"", ""transaction_type"": ""outgoing"", ""notes"": ""Payment for invoice #4275""}",2025-06-03T09:08:57.181244
load_transactions,Invalid currency,"{""transaction_id"": ""2494c953-b06e-4e46-8d01-5fa0948aeeab"", ""timestamp"": ""2025-02-19T05:05:00"", ""amount"": 15035.17, ""currency"": ""DKK"", ""sender_account"": ""GB40LJIG13070988452523"", ""receiver_account"": ""SE8902APRX63562848993577"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""Jerup"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Karlskrona"", ""transaction_type"": ""incoming"", ""notes"": ""Reimbursement for travel""}",2025-06-03T09:08:57.182315
load_transactions,Invalid currency,"{""transaction_id"": ""e949faad-cdac-4bc7-bc9e-7ac001a24817"", ""timestamp"": ""2025-01-17T09:32:00"", ""amount"": 27256.82, ""currency"": ""DKK"", ""sender_account"": ""GB59SWZV54462302319403"", ""receiver_account"": ""SE8902FWBT85916441228504"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""Stege"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""S\u00f6dert\u00e4lje"", ""transaction_type"": ""incoming"", ""notes"": ""Rent transfer""}",2025-06-03T09:08:57.183377
load_transactions,Invalid currency,"{""transaction_id"": ""f553c238-2a8d-493f-bdce-3d8a23f579f1"", ""timestamp"": ""2025-05-04T15:04:00"", ""amount"": 10163.02, ""currency"": ""NOK"", ""sender_account"": ""GB82ZCKI94244825516092"", ""receiver_account"": ""SE8902URSS59260219235990"", ""sender_country"": ""Norway"", ""sender_municipality"": ""Dahl"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""\u00d6stersund"", ""transaction_type"": ""incoming"", ""notes"": ""Loan repayment""}",2025-06-03T09:08:57.184429
load_transactions,Invalid currency,"{""transaction_id"": ""a8b9ddd8-8108-490e-8a76-7b8759250e51"", ""timestamp"": ""2025-02-13T08:08:00"", ""amount"": 43475.46, ""currency"": ""DKK"", ""sender_account"": ""GB10ITQS27243907029377"", ""receiver_account"": ""SE8902IQDI59898249098467"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""Havdrup"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""S\u00f6dert\u00e4lje"", ""transaction_type"": ""outgoing"", ""notes"": ""Insurance payout""}",2025-06-03T09:08:57.185451
load_transactions,Invalid currency,"{""transaction_id"": ""2695d35a-0bf4-401a-982d-4c1b750adcc9"", ""timestamp"": ""2025-02-23T04:45:00"", ""amount"": 24532.57, ""currency"": ""DKK"", ""sender_account"": ""GB89RYZI48020596870522"", ""receiver_account"": ""SE8902LWGY12400441776877"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""S\u00f8nders\u00f8"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Uppsala"", ""transaction_type"": ""incoming"", ""notes"": ""Mobile recharge""}",2025-06-03T09:08:57.186473
load_transactions,Invalid currency,"{""transaction_id"": ""0a70aa22-989a-4e05-8604-1db4fb23fdbc"", ""timestamp"": ""2025-05-06T22:26:00"", ""amount"": 43588.93, ""currency"": ""NOK"", ""sender_account"": ""GB90WDRR79943677247148"", ""receiver_account"": ""SE8902ABOS54302823852209"", ""sender_country"": ""Norway"", ""sender_municipality"": ""S\u00e6ther"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Trelleborg"", ""transaction_type"": ""outgoing"", ""notes"": ""Subscription fee""}",2025-06-03T09:08:57.188042
load_transactions,Invalid currency,"{""transaction_id"": ""36d1a0bb-4bc8-4c27-bf28-02b2ca196671"", ""timestamp"": ""2025-03-21T16:53:00"", ""amount"": 36488.07, ""currency"": ""NOK"", ""sender_account"": ""GB38HLLX53174825624178"", ""receiver_account"": ""SE8902CRCW34066239004922"", ""sender_country"": ""Norway"", ""sender_municipality"": ""Antonsen"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Alings\u00e5s"", ""transaction_type"": ""outgoing"", ""notes"": ""Salary payment""}",2025-06-03T09:08:57.189081
load_transactions,Invalid currency,"{""transaction_id"": ""28a05065-e9fc-4f65-95b3-9b394aed8dba"", ""timestamp"": ""2025-01-13T12:57:00"", ""amount"": 34733.89, ""currency"": ""DKK"", ""sender_account"": ""GB02TQKB41071661508424"", ""receiver_account"": ""SE8902ECCJ86383227351359"", ""sender_country"": ""Denmark"", ""sender_municipality"": ""Saksk\u00f8bing"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""Kristianstad"", ""transaction_type"": ""incoming"", ""notes"": ""Gift to family member""}",2025-06-03T09:08:57.190138
load_transactions,Invalid currency,"{""transaction_id"": ""2447f500-b202-416f-8820-de5c587d49e5"", ""timestamp"": ""2025-02-27T01:14:00"", ""amount"": 46560.35, ""currency"": ""NOK"", ""sender_account"": ""GB23JNHK03867519966699"", ""receiver_account"": ""SE8902RATJ14504736298199"", ""sender_country"": ""Norway"", ""sender_municipality"": ""\u00d8deg\u00e5rd"", ""receiver_country"": ""Sweden"", ""receiver_municipality"": ""G\u00f6teborg"", ""transaction_type"": ""incoming"", ""notes"": ""Salary payment""}",2025-06-03T09:08:57.191172
